Index,All Students,Minority,Economically Disadvantaged,Female,Male,Bil/ESL,Gifted,Special Ed,Title1,At Risk,Immigrant,Migrant,Dyslexic,Homeless,Foster Care,District,Year
117,43.6,0.370491803,0.130484988,0.538638985,0.461361015,0.028058361,0.248267898,0.028216704,0.028089888,0.102325581,0.028248588,0.028058361,0,0,0,46902,13
118,20.9,0.78125,0.446428571,0.566037736,0.433962264,0.25,0.226415094,0.25,0.25,0.333333333,0.25,0.25,0,0,0,47901,13
119,18.8,0.857142857,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0,0,0,49901,13
120,55.6,0.857142857,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0,0,0,49902,13
121,27.3,0.857142857,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0,0,0,49903,13
122,27.3,0.857142857,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0,0,0,49905,13
123,40.7,0.857142857,0.5,0.431818182,0.568181818,0.333333333,0.520833333,0.333333333,0.333333333,0.5,0.333333333,0.333333333,0,0,0,49907,13
124,18.8,0.833333333,0.431034483,0.528301887,0.471698113,0.333333333,0.358974359,0.333333333,0.333333333,0.333333333,0.333333333,0.333333333,0,0,0,50902,13
125,45.2,0.655963303,0.317241379,0.551724138,0.448275862,0.142857143,0.268965517,0.142857143,0.148809524,0.20979021,0.142857143,0.142857143,0,0,0,50910,13
126,7.1,0.857142857,0.5,0.5,0.5,0.333333333,0.5,0.333333333,0.666666667,0.5,0.333333333,0.333333333,0,0,0,53001,13
127,33.3,0.857142857,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0,0,0,54901,13
128,20,0.857142857,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0,0,0,54902,13
129,20,0.857142857,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0,0,0,54903,13
130,58.5,0.81884058,0.166666667,0.571428571,0.428571429,0.142857143,0.142857143,0.142857143,0.142857143,0.142857143,0.142857143,0.142857143,0,0,0,57803,13
131,15,0.857142857,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0,0,0,57807,13
132,100,0.857142857,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0,0,0,57808,13
133,71.4,0.857142857,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0,0,0,57828,13
